ClaveFecha;Año;NúmeroMes;Mes;Trimestre;AñoTrimestre;AñoMes;NúmeroDíaSemana;DíaSemana;NúmeroDíaMes;EsFinDeSemana;NúmeroSemana
15/10/2023;2023;10;octubre;T4;2023-T4;2023-10;7;domingo;15;VERDADERO;42
16/10/2023;2023;10;octubre;T4;2023-T4;2023-10;1;lunes;16;FALSO;42
17/10/2023;2023;10;octubre;T4;2023-T4;2023-10;2;martes;17;FALSO;42
18/10/2023;2023;10;octubre;T4;2023-T4;2023-10;3;miércoles;18;FALSO;42
19/10/2023;2023;10;octubre;T4;2023-T4;2023-10;4;jueves;19;FALSO;42
20/10/2023;2023;10;octubre;T4;2023-T4;2023-10;5;viernes;20;FALSO;42
21/10/2023;2023;10;octubre;T4;2023-T4;2023-10;6;sábado;21;VERDADERO;42
22/10/2023;2023;10;octubre;T4;2023-T4;2023-10;7;domingo;22;VERDADERO;43
23/10/2023;2023;10;octubre;T4;2023-T4;2023-10;1;lunes;23;FALSO;43
24/10/2023;2023;10;octubre;T4;2023-T4;2023-10;2;martes;24;FALSO;43
25/10/2023;2023;10;octubre;T4;2023-T4;2023-10;3;miércoles;25;FALSO;43
26/10/2023;2023;10;octubre;T4;2023-T4;2023-10;4;jueves;26;FALSO;43
27/10/2023;2023;10;octubre;T4;2023-T4;2023-10;5;viernes;27;FALSO;43
28/10/2023;2023;10;octubre;T4;2023-T4;2023-10;6;sábado;28;VERDADERO;43
29/10/2023;2023;10;octubre;T4;2023-T4;2023-10;7;domingo;29;VERDADERO;44
30/10/2023;2023;10;octubre;T4;2023-T4;2023-10;1;lunes;30;FALSO;44
31/10/2023;2023;10;octubre;T4;2023-T4;2023-10;2;martes;31;FALSO;44
1/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;3;miércoles;1;FALSO;44
2/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;4;jueves;2;FALSO;44
3/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;5;viernes;3;FALSO;44
4/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;6;sábado;4;VERDADERO;44
5/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;7;domingo;5;VERDADERO;45
6/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;1;lunes;6;FALSO;45
7/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;2;martes;7;FALSO;45
8/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;3;miércoles;8;FALSO;45
9/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;4;jueves;9;FALSO;45
10/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;5;viernes;10;FALSO;45
11/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;6;sábado;11;VERDADERO;45
12/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;7;domingo;12;VERDADERO;46
13/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;1;lunes;13;FALSO;46
14/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;2;martes;14;FALSO;46
15/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;3;miércoles;15;FALSO;46
16/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;4;jueves;16;FALSO;46
17/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;5;viernes;17;FALSO;46
18/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;6;sábado;18;VERDADERO;46
19/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;7;domingo;19;VERDADERO;47
20/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;1;lunes;20;FALSO;47
21/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;2;martes;21;FALSO;47
22/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;3;miércoles;22;FALSO;47
23/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;4;jueves;23;FALSO;47
24/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;5;viernes;24;FALSO;47
25/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;6;sábado;25;VERDADERO;47
26/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;7;domingo;26;VERDADERO;48
27/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;1;lunes;27;FALSO;48
28/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;2;martes;28;FALSO;48
29/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;3;miércoles;29;FALSO;48
30/11/2023;2023;11;noviembre;T4;2023-T4;2023-11;4;jueves;30;FALSO;48
1/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;5;viernes;1;FALSO;48
2/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;6;sábado;2;VERDADERO;48
3/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;7;domingo;3;VERDADERO;49
4/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;1;lunes;4;FALSO;49
5/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;2;martes;5;FALSO;49
6/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;3;miércoles;6;FALSO;49
7/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;4;jueves;7;FALSO;49
8/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;5;viernes;8;FALSO;49
9/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;6;sábado;9;VERDADERO;49
10/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;7;domingo;10;VERDADERO;50
11/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;1;lunes;11;FALSO;50
12/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;2;martes;12;FALSO;50
13/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;3;miércoles;13;FALSO;50
14/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;4;jueves;14;FALSO;50
15/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;5;viernes;15;FALSO;50
16/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;6;sábado;16;VERDADERO;50
17/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;7;domingo;17;VERDADERO;51
18/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;1;lunes;18;FALSO;51
19/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;2;martes;19;FALSO;51
20/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;3;miércoles;20;FALSO;51
21/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;4;jueves;21;FALSO;51
22/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;5;viernes;22;FALSO;51
23/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;6;sábado;23;VERDADERO;51
24/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;7;domingo;24;VERDADERO;52
25/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;1;lunes;25;FALSO;52
26/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;2;martes;26;FALSO;52
27/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;3;miércoles;27;FALSO;52
28/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;4;jueves;28;FALSO;52
29/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;5;viernes;29;FALSO;52
30/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;6;sábado;30;VERDADERO;52
31/12/2023;2023;12;diciembre;T4;2023-T4;2023-12;7;domingo;31;VERDADERO;53
1/01/2024;2024;1;enero;T1;2024-T1;2024-01;1;lunes;1;FALSO;1
2/01/2024;2024;1;enero;T1;2024-T1;2024-01;2;martes;2;FALSO;1
3/01/2024;2024;1;enero;T1;2024-T1;2024-01;3;miércoles;3;FALSO;1
4/01/2024;2024;1;enero;T1;2024-T1;2024-01;4;jueves;4;FALSO;1
5/01/2024;2024;1;enero;T1;2024-T1;2024-01;5;viernes;5;FALSO;1
6/01/2024;2024;1;enero;T1;2024-T1;2024-01;6;sábado;6;VERDADERO;1
7/01/2024;2024;1;enero;T1;2024-T1;2024-01;7;domingo;7;VERDADERO;2
8/01/2024;2024;1;enero;T1;2024-T1;2024-01;1;lunes;8;FALSO;2
9/01/2024;2024;1;enero;T1;2024-T1;2024-01;2;martes;9;FALSO;2
10/01/2024;2024;1;enero;T1;2024-T1;2024-01;3;miércoles;10;FALSO;2
11/01/2024;2024;1;enero;T1;2024-T1;2024-01;4;jueves;11;FALSO;2
12/01/2024;2024;1;enero;T1;2024-T1;2024-01;5;viernes;12;FALSO;2
13/01/2024;2024;1;enero;T1;2024-T1;2024-01;6;sábado;13;VERDADERO;2
14/01/2024;2024;1;enero;T1;2024-T1;2024-01;7;domingo;14;VERDADERO;3
15/01/2024;2024;1;enero;T1;2024-T1;2024-01;1;lunes;15;FALSO;3
16/01/2024;2024;1;enero;T1;2024-T1;2024-01;2;martes;16;FALSO;3
17/01/2024;2024;1;enero;T1;2024-T1;2024-01;3;miércoles;17;FALSO;3
18/01/2024;2024;1;enero;T1;2024-T1;2024-01;4;jueves;18;FALSO;3
19/01/2024;2024;1;enero;T1;2024-T1;2024-01;5;viernes;19;FALSO;3
20/01/2024;2024;1;enero;T1;2024-T1;2024-01;6;sábado;20;VERDADERO;3
21/01/2024;2024;1;enero;T1;2024-T1;2024-01;7;domingo;21;VERDADERO;4
22/01/2024;2024;1;enero;T1;2024-T1;2024-01;1;lunes;22;FALSO;4
23/01/2024;2024;1;enero;T1;2024-T1;2024-01;2;martes;23;FALSO;4
24/01/2024;2024;1;enero;T1;2024-T1;2024-01;3;miércoles;24;FALSO;4
25/01/2024;2024;1;enero;T1;2024-T1;2024-01;4;jueves;25;FALSO;4
26/01/2024;2024;1;enero;T1;2024-T1;2024-01;5;viernes;26;FALSO;4
27/01/2024;2024;1;enero;T1;2024-T1;2024-01;6;sábado;27;VERDADERO;4
28/01/2024;2024;1;enero;T1;2024-T1;2024-01;7;domingo;28;VERDADERO;5
29/01/2024;2024;1;enero;T1;2024-T1;2024-01;1;lunes;29;FALSO;5
30/01/2024;2024;1;enero;T1;2024-T1;2024-01;2;martes;30;FALSO;5
31/01/2024;2024;1;enero;T1;2024-T1;2024-01;3;miércoles;31;FALSO;5
1/02/2024;2024;2;febrero;T1;2024-T1;2024-02;4;jueves;1;FALSO;5
2/02/2024;2024;2;febrero;T1;2024-T1;2024-02;5;viernes;2;FALSO;5
3/02/2024;2024;2;febrero;T1;2024-T1;2024-02;6;sábado;3;VERDADERO;5
4/02/2024;2024;2;febrero;T1;2024-T1;2024-02;7;domingo;4;VERDADERO;6
5/02/2024;2024;2;febrero;T1;2024-T1;2024-02;1;lunes;5;FALSO;6
6/02/2024;2024;2;febrero;T1;2024-T1;2024-02;2;martes;6;FALSO;6
7/02/2024;2024;2;febrero;T1;2024-T1;2024-02;3;miércoles;7;FALSO;6
8/02/2024;2024;2;febrero;T1;2024-T1;2024-02;4;jueves;8;FALSO;6
9/02/2024;2024;2;febrero;T1;2024-T1;2024-02;5;viernes;9;FALSO;6
10/02/2024;2024;2;febrero;T1;2024-T1;2024-02;6;sábado;10;VERDADERO;6
11/02/2024;2024;2;febrero;T1;2024-T1;2024-02;7;domingo;11;VERDADERO;7
12/02/2024;2024;2;febrero;T1;2024-T1;2024-02;1;lunes;12;FALSO;7
13/02/2024;2024;2;febrero;T1;2024-T1;2024-02;2;martes;13;FALSO;7
14/02/2024;2024;2;febrero;T1;2024-T1;2024-02;3;miércoles;14;FALSO;7
15/02/2024;2024;2;febrero;T1;2024-T1;2024-02;4;jueves;15;FALSO;7
16/02/2024;2024;2;febrero;T1;2024-T1;2024-02;5;viernes;16;FALSO;7
17/02/2024;2024;2;febrero;T1;2024-T1;2024-02;6;sábado;17;VERDADERO;7
18/02/2024;2024;2;febrero;T1;2024-T1;2024-02;7;domingo;18;VERDADERO;8
19/02/2024;2024;2;febrero;T1;2024-T1;2024-02;1;lunes;19;FALSO;8
20/02/2024;2024;2;febrero;T1;2024-T1;2024-02;2;martes;20;FALSO;8
21/02/2024;2024;2;febrero;T1;2024-T1;2024-02;3;miércoles;21;FALSO;8
22/02/2024;2024;2;febrero;T1;2024-T1;2024-02;4;jueves;22;FALSO;8
23/02/2024;2024;2;febrero;T1;2024-T1;2024-02;5;viernes;23;FALSO;8
24/02/2024;2024;2;febrero;T1;2024-T1;2024-02;6;sábado;24;VERDADERO;8
25/02/2024;2024;2;febrero;T1;2024-T1;2024-02;7;domingo;25;VERDADERO;9
26/02/2024;2024;2;febrero;T1;2024-T1;2024-02;1;lunes;26;FALSO;9
27/02/2024;2024;2;febrero;T1;2024-T1;2024-02;2;martes;27;FALSO;9
28/02/2024;2024;2;febrero;T1;2024-T1;2024-02;3;miércoles;28;FALSO;9
29/02/2024;2024;2;febrero;T1;2024-T1;2024-02;4;jueves;29;FALSO;9
1/03/2024;2024;3;marzo;T1;2024-T1;2024-03;5;viernes;1;FALSO;9
2/03/2024;2024;3;marzo;T1;2024-T1;2024-03;6;sábado;2;VERDADERO;9
3/03/2024;2024;3;marzo;T1;2024-T1;2024-03;7;domingo;3;VERDADERO;10
4/03/2024;2024;3;marzo;T1;2024-T1;2024-03;1;lunes;4;FALSO;10
5/03/2024;2024;3;marzo;T1;2024-T1;2024-03;2;martes;5;FALSO;10
6/03/2024;2024;3;marzo;T1;2024-T1;2024-03;3;miércoles;6;FALSO;10
7/03/2024;2024;3;marzo;T1;2024-T1;2024-03;4;jueves;7;FALSO;10
8/03/2024;2024;3;marzo;T1;2024-T1;2024-03;5;viernes;8;FALSO;10
9/03/2024;2024;3;marzo;T1;2024-T1;2024-03;6;sábado;9;VERDADERO;10
10/03/2024;2024;3;marzo;T1;2024-T1;2024-03;7;domingo;10;VERDADERO;11
11/03/2024;2024;3;marzo;T1;2024-T1;2024-03;1;lunes;11;FALSO;11
12/03/2024;2024;3;marzo;T1;2024-T1;2024-03;2;martes;12;FALSO;11
13/03/2024;2024;3;marzo;T1;2024-T1;2024-03;3;miércoles;13;FALSO;11
14/03/2024;2024;3;marzo;T1;2024-T1;2024-03;4;jueves;14;FALSO;11
15/03/2024;2024;3;marzo;T1;2024-T1;2024-03;5;viernes;15;FALSO;11
16/03/2024;2024;3;marzo;T1;2024-T1;2024-03;6;sábado;16;VERDADERO;11
17/03/2024;2024;3;marzo;T1;2024-T1;2024-03;7;domingo;17;VERDADERO;12
18/03/2024;2024;3;marzo;T1;2024-T1;2024-03;1;lunes;18;FALSO;12
19/03/2024;2024;3;marzo;T1;2024-T1;2024-03;2;martes;19;FALSO;12
20/03/2024;2024;3;marzo;T1;2024-T1;2024-03;3;miércoles;20;FALSO;12
21/03/2024;2024;3;marzo;T1;2024-T1;2024-03;4;jueves;21;FALSO;12
22/03/2024;2024;3;marzo;T1;2024-T1;2024-03;5;viernes;22;FALSO;12
23/03/2024;2024;3;marzo;T1;2024-T1;2024-03;6;sábado;23;VERDADERO;12
24/03/2024;2024;3;marzo;T1;2024-T1;2024-03;7;domingo;24;VERDADERO;13
25/03/2024;2024;3;marzo;T1;2024-T1;2024-03;1;lunes;25;FALSO;13
26/03/2024;2024;3;marzo;T1;2024-T1;2024-03;2;martes;26;FALSO;13
27/03/2024;2024;3;marzo;T1;2024-T1;2024-03;3;miércoles;27;FALSO;13
28/03/2024;2024;3;marzo;T1;2024-T1;2024-03;4;jueves;28;FALSO;13
29/03/2024;2024;3;marzo;T1;2024-T1;2024-03;5;viernes;29;FALSO;13
30/03/2024;2024;3;marzo;T1;2024-T1;2024-03;6;sábado;30;VERDADERO;13
31/03/2024;2024;3;marzo;T1;2024-T1;2024-03;7;domingo;31;VERDADERO;14
1/04/2024;2024;4;abril;T2;2024-T2;2024-04;1;lunes;1;FALSO;14
2/04/2024;2024;4;abril;T2;2024-T2;2024-04;2;martes;2;FALSO;14
3/04/2024;2024;4;abril;T2;2024-T2;2024-04;3;miércoles;3;FALSO;14
4/04/2024;2024;4;abril;T2;2024-T2;2024-04;4;jueves;4;FALSO;14
5/04/2024;2024;4;abril;T2;2024-T2;2024-04;5;viernes;5;FALSO;14
6/04/2024;2024;4;abril;T2;2024-T2;2024-04;6;sábado;6;VERDADERO;14
7/04/2024;2024;4;abril;T2;2024-T2;2024-04;7;domingo;7;VERDADERO;15
8/04/2024;2024;4;abril;T2;2024-T2;2024-04;1;lunes;8;FALSO;15
9/04/2024;2024;4;abril;T2;2024-T2;2024-04;2;martes;9;FALSO;15
10/04/2024;2024;4;abril;T2;2024-T2;2024-04;3;miércoles;10;FALSO;15
11/04/2024;2024;4;abril;T2;2024-T2;2024-04;4;jueves;11;FALSO;15
12/04/2024;2024;4;abril;T2;2024-T2;2024-04;5;viernes;12;FALSO;15
13/04/2024;2024;4;abril;T2;2024-T2;2024-04;6;sábado;13;VERDADERO;15
14/04/2024;2024;4;abril;T2;2024-T2;2024-04;7;domingo;14;VERDADERO;16
15/04/2024;2024;4;abril;T2;2024-T2;2024-04;1;lunes;15;FALSO;16
16/04/2024;2024;4;abril;T2;2024-T2;2024-04;2;martes;16;FALSO;16
17/04/2024;2024;4;abril;T2;2024-T2;2024-04;3;miércoles;17;FALSO;16
18/04/2024;2024;4;abril;T2;2024-T2;2024-04;4;jueves;18;FALSO;16
19/04/2024;2024;4;abril;T2;2024-T2;2024-04;5;viernes;19;FALSO;16
20/04/2024;2024;4;abril;T2;2024-T2;2024-04;6;sábado;20;VERDADERO;16
21/04/2024;2024;4;abril;T2;2024-T2;2024-04;7;domingo;21;VERDADERO;17
22/04/2024;2024;4;abril;T2;2024-T2;2024-04;1;lunes;22;FALSO;17
23/04/2024;2024;4;abril;T2;2024-T2;2024-04;2;martes;23;FALSO;17
24/04/2024;2024;4;abril;T2;2024-T2;2024-04;3;miércoles;24;FALSO;17
25/04/2024;2024;4;abril;T2;2024-T2;2024-04;4;jueves;25;FALSO;17
26/04/2024;2024;4;abril;T2;2024-T2;2024-04;5;viernes;26;FALSO;17
27/04/2024;2024;4;abril;T2;2024-T2;2024-04;6;sábado;27;VERDADERO;17
28/04/2024;2024;4;abril;T2;2024-T2;2024-04;7;domingo;28;VERDADERO;18
29/04/2024;2024;4;abril;T2;2024-T2;2024-04;1;lunes;29;FALSO;18
30/04/2024;2024;4;abril;T2;2024-T2;2024-04;2;martes;30;FALSO;18
1/05/2024;2024;5;mayo;T2;2024-T2;2024-05;3;miércoles;1;FALSO;18
2/05/2024;2024;5;mayo;T2;2024-T2;2024-05;4;jueves;2;FALSO;18
3/05/2024;2024;5;mayo;T2;2024-T2;2024-05;5;viernes;3;FALSO;18
4/05/2024;2024;5;mayo;T2;2024-T2;2024-05;6;sábado;4;VERDADERO;18
5/05/2024;2024;5;mayo;T2;2024-T2;2024-05;7;domingo;5;VERDADERO;19
6/05/2024;2024;5;mayo;T2;2024-T2;2024-05;1;lunes;6;FALSO;19
7/05/2024;2024;5;mayo;T2;2024-T2;2024-05;2;martes;7;FALSO;19
8/05/2024;2024;5;mayo;T2;2024-T2;2024-05;3;miércoles;8;FALSO;19
9/05/2024;2024;5;mayo;T2;2024-T2;2024-05;4;jueves;9;FALSO;19
10/05/2024;2024;5;mayo;T2;2024-T2;2024-05;5;viernes;10;FALSO;19
11/05/2024;2024;5;mayo;T2;2024-T2;2024-05;6;sábado;11;VERDADERO;19
12/05/2024;2024;5;mayo;T2;2024-T2;2024-05;7;domingo;12;VERDADERO;20
13/05/2024;2024;5;mayo;T2;2024-T2;2024-05;1;lunes;13;FALSO;20
14/05/2024;2024;5;mayo;T2;2024-T2;2024-05;2;martes;14;FALSO;20
15/05/2024;2024;5;mayo;T2;2024-T2;2024-05;3;miércoles;15;FALSO;20
16/05/2024;2024;5;mayo;T2;2024-T2;2024-05;4;jueves;16;FALSO;20
17/05/2024;2024;5;mayo;T2;2024-T2;2024-05;5;viernes;17;FALSO;20
18/05/2024;2024;5;mayo;T2;2024-T2;2024-05;6;sábado;18;VERDADERO;20
19/05/2024;2024;5;mayo;T2;2024-T2;2024-05;7;domingo;19;VERDADERO;21
20/05/2024;2024;5;mayo;T2;2024-T2;2024-05;1;lunes;20;FALSO;21
21/05/2024;2024;5;mayo;T2;2024-T2;2024-05;2;martes;21;FALSO;21
22/05/2024;2024;5;mayo;T2;2024-T2;2024-05;3;miércoles;22;FALSO;21
23/05/2024;2024;5;mayo;T2;2024-T2;2024-05;4;jueves;23;FALSO;21
24/05/2024;2024;5;mayo;T2;2024-T2;2024-05;5;viernes;24;FALSO;21
25/05/2024;2024;5;mayo;T2;2024-T2;2024-05;6;sábado;25;VERDADERO;21
26/05/2024;2024;5;mayo;T2;2024-T2;2024-05;7;domingo;26;VERDADERO;22
27/05/2024;2024;5;mayo;T2;2024-T2;2024-05;1;lunes;27;FALSO;22
28/05/2024;2024;5;mayo;T2;2024-T2;2024-05;2;martes;28;FALSO;22
29/05/2024;2024;5;mayo;T2;2024-T2;2024-05;3;miércoles;29;FALSO;22
30/05/2024;2024;5;mayo;T2;2024-T2;2024-05;4;jueves;30;FALSO;22
31/05/2024;2024;5;mayo;T2;2024-T2;2024-05;5;viernes;31;FALSO;22
1/06/2024;2024;6;junio;T2;2024-T2;2024-06;6;sábado;1;VERDADERO;22
2/06/2024;2024;6;junio;T2;2024-T2;2024-06;7;domingo;2;VERDADERO;23
3/06/2024;2024;6;junio;T2;2024-T2;2024-06;1;lunes;3;FALSO;23
4/06/2024;2024;6;junio;T2;2024-T2;2024-06;2;martes;4;FALSO;23
5/06/2024;2024;6;junio;T2;2024-T2;2024-06;3;miércoles;5;FALSO;23
6/06/2024;2024;6;junio;T2;2024-T2;2024-06;4;jueves;6;FALSO;23
7/06/2024;2024;6;junio;T2;2024-T2;2024-06;5;viernes;7;FALSO;23
8/06/2024;2024;6;junio;T2;2024-T2;2024-06;6;sábado;8;VERDADERO;23
9/06/2024;2024;6;junio;T2;2024-T2;2024-06;7;domingo;9;VERDADERO;24
10/06/2024;2024;6;junio;T2;2024-T2;2024-06;1;lunes;10;FALSO;24
11/06/2024;2024;6;junio;T2;2024-T2;2024-06;2;martes;11;FALSO;24
12/06/2024;2024;6;junio;T2;2024-T2;2024-06;3;miércoles;12;FALSO;24
13/06/2024;2024;6;junio;T2;2024-T2;2024-06;4;jueves;13;FALSO;24
14/06/2024;2024;6;junio;T2;2024-T2;2024-06;5;viernes;14;FALSO;24
15/06/2024;2024;6;junio;T2;2024-T2;2024-06;6;sábado;15;VERDADERO;24
16/06/2024;2024;6;junio;T2;2024-T2;2024-06;7;domingo;16;VERDADERO;25
17/06/2024;2024;6;junio;T2;2024-T2;2024-06;1;lunes;17;FALSO;25
18/06/2024;2024;6;junio;T2;2024-T2;2024-06;2;martes;18;FALSO;25
19/06/2024;2024;6;junio;T2;2024-T2;2024-06;3;miércoles;19;FALSO;25
20/06/2024;2024;6;junio;T2;2024-T2;2024-06;4;jueves;20;FALSO;25
21/06/2024;2024;6;junio;T2;2024-T2;2024-06;5;viernes;21;FALSO;25
22/06/2024;2024;6;junio;T2;2024-T2;2024-06;6;sábado;22;VERDADERO;25
23/06/2024;2024;6;junio;T2;2024-T2;2024-06;7;domingo;23;VERDADERO;26
24/06/2024;2024;6;junio;T2;2024-T2;2024-06;1;lunes;24;FALSO;26
25/06/2024;2024;6;junio;T2;2024-T2;2024-06;2;martes;25;FALSO;26
26/06/2024;2024;6;junio;T2;2024-T2;2024-06;3;miércoles;26;FALSO;26
27/06/2024;2024;6;junio;T2;2024-T2;2024-06;4;jueves;27;FALSO;26
28/06/2024;2024;6;junio;T2;2024-T2;2024-06;5;viernes;28;FALSO;26
29/06/2024;2024;6;junio;T2;2024-T2;2024-06;6;sábado;29;VERDADERO;26
30/06/2024;2024;6;junio;T2;2024-T2;2024-06;7;domingo;30;VERDADERO;27
1/07/2024;2024;7;julio;T3;2024-T3;2024-07;1;lunes;1;FALSO;27
2/07/2024;2024;7;julio;T3;2024-T3;2024-07;2;martes;2;FALSO;27
3/07/2024;2024;7;julio;T3;2024-T3;2024-07;3;miércoles;3;FALSO;27
4/07/2024;2024;7;julio;T3;2024-T3;2024-07;4;jueves;4;FALSO;27
5/07/2024;2024;7;julio;T3;2024-T3;2024-07;5;viernes;5;FALSO;27
6/07/2024;2024;7;julio;T3;2024-T3;2024-07;6;sábado;6;VERDADERO;27
7/07/2024;2024;7;julio;T3;2024-T3;2024-07;7;domingo;7;VERDADERO;28
8/07/2024;2024;7;julio;T3;2024-T3;2024-07;1;lunes;8;FALSO;28
