IDTransacción;ClaveFecha;IDCliente;IDProducto;IDTienda;Cantidad;Descuento;MetodoPago
T00064;15/11/2024;C164;P048;S004;1;0;Bank Transfer
T00065;26/05/2024;C121;P028;S004;4;0.1;Credit Card
T00066;20/04/2024;C014;P010;S003;4;0;Cash
T00067;16/02/2025;C103;P042;S004;1;0;Credit Card
T00068;15/03/2024;C039;P002;S005;3;0;Credit Card
T00069;14/11/2023;C031;P040;S005;4;0.05;Mobile Money
T00070;2/12/2024;C116;P013;S004;3;0.15;Bank Transfer
T00071;18/11/2023;C146;P044;S005;1;0;Credit Card
T00072;5/01/2025;C161;P012;S002;3;0;Credit Card
T00073;8/10/2024;C062;P022;S002;5;0;Credit Card
T00074;1/07/2024;C001;P014;S004;4;0.15;Bank Transfer
T00075;24/04/2024;C009;P018;S002;3;0.1;Mobile Money
T00076;20/05/2025;C019;P005;S002;3;0.05;Mobile Money
T00077;19/06/2025;C030;P031;S005;2;0.05;Bank Transfer
T00078;24/07/2024;C037;P015;S001;1;0.05;Bank Transfer
T00079;6/01/2024;C153;P018;S005;3;0.15;Cash
T00080;21/11/2023;C120;P021;S003;4;0.1;Mobile Money
T00081;20/06/2024;C113;P009;S001;5;0;Mobile Money
T00082;23/10/2023;C189;P009;S003;5;0.1;Cash
T00083;16/08/2024;C024;P039;S002;5;0;Bank Transfer
T00084;28/05/2025;C148;P038;S001;2;0.15;Mobile Money
T00085;13/10/2023;C072;P014;S002;5;0.15;Mobile Money
T00086;17/09/2023;C024;P018;S004;3;0.15;Bank Transfer
T00087;17/10/2024;C083;P036;S001;2;0.1;Mobile Money
T00088;23/05/2025;C178;P024;S004;3;0.15;Cash
T00089;31/01/2025;C117;P049;S001;3;0.1;Bank Transfer
T00090;15/11/2023;C030;P046;S004;5;0;Mobile Money
T00091;26/07/2025;C106;P039;S001;2;0.1;Mobile Money
T00092;6/05/2025;C161;P049;S004;1;0.05;Bank Transfer
T00093;23/09/2023;C141;P048;S002;3;0.15;Mobile Money
T00094;24/12/2023;C032;P019;S001;5;0.05;Credit Card
T00095;13/10/2024;C080;P030;S005;1;0.15;Cash
T00096;8/06/2024;C058;P048;S001;4;0;Credit Card
T00097;16/03/2024;C128;P038;S003;5;0.1;Mobile Money
T00098;15/08/2024;C124;P009;S004;2;0.15;Credit Card
T00099;18/10/2024;C099;P017;S002;5;0.05;Cash
T00100;7/07/2025;C071;P023;S004;3;0.1;Cash
T00101;6/06/2025;C073;P013;S003;5;0.15;Credit Card
T00102;16/07/2025;C115;P006;S005;4;0.1;Bank Transfer
T00103;29/12/2024;C142;P016;S005;4;0.15;Bank Transfer
T00104;18/01/2025;C049;P032;S002;5;0.15;Credit Card
T00105;14/01/2024;C199;P011;S004;1;0.1;Mobile Money
T00106;29/01/2025;C181;P049;S004;4;0.05;Mobile Money
T00107;7/03/2025;C010;P010;S002;5;0.1;Cash
T00108;2/08/2025;C113;P039;S001;5;0.15;Cash
T00109;9/11/2023;C185;P030;S002;4;0.05;Cash
T00110;21/07/2024;C121;P014;S003;3;0.15;Cash
T00111;24/03/2024;C085;P043;S005;4;0.1;Mobile Money
T00112;9/01/2024;C139;P022;S001;5;0;Credit Card
T00113;7/10/2024;C162;P024;S003;2;0;Mobile Money
T00114;18/01/2025;C026;P027;S001;4;0.05;Bank Transfer
T00115;13/06/2025;C008;P038;S001;3;0;Bank Transfer
T00116;14/02/2024;C092;P033;S003;4;0.05;Credit Card
T00117;8/06/2024;C136;P006;S004;5;0.05;Credit Card
T00118;1/07/2024;C045;P037;S001;5;0.15;Credit Card
T00119;16/09/2024;C128;P033;S005;2;0.05;Mobile Money
T00120;26/10/2024;C164;P024;S003;4;0.1;Cash
T00121;19/03/2025;C120;P018;S003;5;0.05;Cash
T00122;22/01/2025;C114;P030;S003;5;0.1;Mobile Money
T00123;30/03/2025;C177;P042;S003;4;0.1;Credit Card
T00124;4/01/2024;C099;P016;S004;1;0.05;Mobile Money
T00125;14/06/2024;C147;P003;S003;5;0.1;Bank Transfer
T00126;21/10/2023;C006;P001;S004;3;0;Cash
T00127;29/01/2025;C156;P022;S004;3;0.05;Bank Transfer
T00128;17/09/2024;C057;P029;S002;5;0.1;Credit Card
T00129;12/11/2024;C161;P010;S001;1;0.1;Mobile Money
T00130;29/06/2025;C009;P003;S005;3;0.05;Cash
T00131;10/01/2024;C076;P015;S003;4;0.05;Credit Card
T00132;20/05/2025;C034;P007;S005;3;0.1;Credit Card
T00133;14/04/2024;C066;P016;S004;3;0.1;Cash
T00134;26/05/2024;C120;P045;S001;2;0.05;Mobile Money
T00135;30/08/2024;C143;P025;S003;1;0.15;Cash
T00136;12/07/2024;C068;P037;S005;1;0.15;Bank Transfer
T00137;26/05/2024;C173;P024;S003;5;0.15;Bank Transfer
T00138;21/01/2024;C028;P028;S002;4;0;Bank Transfer
T00139;31/12/2023;C157;P027;S002;1;0.15;Bank Transfer
T00140;3/02/2025;C167;P030;S004;1;0.05;Cash
T00141;23/11/2023;C010;P024;S003;4;0;Cash
T00142;27/09/2024;C061;P049;S005;2;0.15;Mobile Money
T00143;9/08/2025;C095;P033;S005;4;0.05;Mobile Money
T00144;18/12/2023;C168;P044;S001;4;0.15;Bank Transfer
T00145;10/03/2025;C009;P009;S003;2;0.15;Mobile Money
T00146;12/05/2024;C061;P039;S003;1;0.1;Bank Transfer
T00147;17/09/2024;C016;P035;S004;3;0.05;Cash
T00148;9/04/2024;C117;P016;S001;2;0;Cash
T00149;16/10/2023;C086;P014;S002;2;0.05;Cash
T00150;30/08/2024;C196;P029;S005;2;0.05;Credit Card
T00151;4/09/2024;C085;P021;S002;5;0;Bank Transfer
T00152;21/10/2024;C038;P044;S002;5;0.1;Credit Card
T00153;20/04/2024;C029;P006;S001;2;0;Bank Transfer
T00154;2/07/2025;C061;P026;S005;3;0;Credit Card
T00155;25/07/2024;C068;P014;S001;2;0.15;Cash
T00156;19/11/2024;C191;P008;S001;4;0.15;Bank Transfer
T00157;29/09/2024;C132;P003;S005;1;0.15;Credit Card
T00158;22/08/2024;C158;P023;S001;5;0.1;Mobile Money
T00159;3/08/2025;C165;P042;S001;1;0.15;Mobile Money
T00160;6/10/2023;C110;P021;S001;4;0.15;Cash
T00161;17/05/2025;C021;P046;S003;5;0.05;Cash
T00162;3/05/2024;C033;P029;S003;5;0.1;Mobile Money
T00163;16/03/2025;C153;P033;S005;3;0.15;Mobile Money
T00164;28/07/2024;C026;P003;S001;5;0.05;Mobile Money
T00165;19/08/2025;C116;P005;S002;4;0.1;Mobile Money
T00166;28/01/2025;C103;P030;S004;1;0.1;Mobile Money
T00167;22/10/2023;C081;P038;S003;3;0.05;Mobile Money
T00168;11/03/2024;C018;P022;S001;1;0;Mobile Money
T00169;1/08/2024;C025;P018;S003;2;0;Bank Transfer
T00170;25/02/2024;C172;P044;S001;4;0.1;Mobile Money
T00171;23/12/2023;C185;P035;S001;3;0.1;Bank Transfer
T00172;18/01/2025;C027;P045;S005;5;0.05;Credit Card
T00173;2/09/2024;C169;P027;S004;2;0;Bank Transfer
T00174;22/05/2025;C143;P010;S003;1;0.1;Credit Card
T00175;27/11/2024;C110;P006;S005;5;0;Bank Transfer
T00176;13/08/2025;C008;P012;S002;3;0.1;Bank Transfer
T00177;17/08/2025;C090;P023;S001;2;0.05;Mobile Money
T00178;8/04/2024;C018;P016;S002;1;0;Credit Card
T00179;5/04/2024;C097;P020;S004;4;0.1;Credit Card
T00180;4/06/2024;C095;P009;S003;3;0;Cash
T00181;28/06/2024;C040;P030;S002;5;0;Cash
T00182;31/12/2023;C070;P029;S004;4;0.15;Mobile Money
T00183;21/05/2025;C107;P012;S003;2;0;Bank Transfer
T00184;23/08/2024;C111;P002;S001;3;0.15;Bank Transfer
T00185;2/07/2025;C012;P030;S002;4;0;Cash
T00186;21/06/2024;C053;P029;S003;2;0.05;Bank Transfer
T00187;26/09/2024;C075;P013;S003;1;0;Mobile Money
T00188;22/04/2024;C192;P016;S004;2;0.05;Mobile Money
T00189;26/03/2025;C137;P044;S002;5;0.1;Cash
T00190;30/05/2025;C102;P020;S001;4;0;Mobile Money
T00191;24/09/2023;C020;P007;S003;5;0.15;Mobile Money
T00192;27/10/2023;C182;P019;S004;3;0;Mobile Money
T00193;13/01/2025;C006;P027;S003;2;0.15;Bank Transfer
T00194;8/12/2023;C023;P010;S004;1;0.05;Mobile Money
T00195;7/06/2025;C151;P016;S004;5;0;Mobile Money
T00196;7/09/2024;C080;P011;S003;2;0.1;Credit Card
T00197;23/05/2024;C020;P025;S005;1;0.05;Bank Transfer
T00198;14/03/2025;C090;P025;S002;2;0;Credit Card
T00199;5/08/2025;C066;P025;S002;2;0.05;Cash
T00200;30/11/2023;C046;P044;S004;4;0.15;Bank Transfer
T00201;27/09/2023;C161;P042;S003;2;0.15;Cash
T00202;4/01/2024;C121;P027;S004;3;0.1;Cash
T00203;8/01/2024;C091;P017;S005;1;0.1;Mobile Money
T00204;24/07/2025;C116;P050;S001;1;0.1;Bank Transfer
T00205;19/04/2025;C020;P004;S001;5;0.15;Mobile Money
T00206;14/10/2023;C149;P043;S005;1;0.15;Credit Card
T00207;30/10/2023;C083;P035;S005;4;0.05;Cash
T00208;21/03/2025;C116;P004;S001;3;0;Credit Card
T00209;1/03/2025;C011;P028;S002;4;0.15;Credit Card
T00210;2/08/2024;C094;P021;S003;3;0.15;Mobile Money
T00211;8/04/2025;C199;P023;S003;5;0;Bank Transfer
T00212;16/06/2025;C017;P045;S003;1;0.15;Bank Transfer
T00213;28/11/2024;C065;P008;S005;2;0.1;Cash
T00214;10/10/2024;C150;P025;S002;3;0.1;Mobile Money
T00215;10/06/2025;C034;P034;S005;1;0.1;Mobile Money
T00216;22/08/2024;C165;P031;S003;2;0;Mobile Money
T00217;27/12/2024;C131;P048;S003;1;0.1;Bank Transfer
T00218;10/03/2024;C047;P048;S002;3;0.15;Credit Card
T00219;4/04/2025;C058;P035;S002;2;0;Bank Transfer
T00220;18/04/2024;C026;P021;S005;5;0;Bank Transfer
T00221;29/07/2025;C197;P002;S005;2;0.15;Credit Card
T00222;7/04/2025;C042;P045;S002;5;0.05;Mobile Money
T00223;13/08/2025;C012;P046;S004;3;0.05;Mobile Money
T00224;24/06/2025;C157;P017;S003;4;0.05;Credit Card
T00225;30/11/2023;C080;P020;S004;2;0.1;Mobile Money
T00226;18/05/2024;C119;P020;S003;4;0.15;Credit Card
T00227;25/08/2024;C052;P032;S005;2;0.1;Cash
T00228;13/06/2024;C165;P026;S004;3;0;Cash
T00229;12/07/2025;C073;P042;S001;2;0.1;Mobile Money
T00230;5/12/2024;C132;P022;S002;4;0;Credit Card
T00231;20/06/2025;C116;P046;S003;1;0.15;Cash
T00232;26/01/2025;C102;P038;S005;3;0.05;Mobile Money
T00233;11/08/2024;C021;P050;S003;2;0;Bank Transfer
T00234;18/04/2025;C026;P021;S003;2;0.05;Cash
T00235;10/08/2025;C074;P007;S004;2;0.15;Mobile Money
T00236;27/01/2024;C158;P050;S001;1;0;Bank Transfer
T00237;8/05/2024;C056;P039;S002;5;0.15;Cash
T00238;27/09/2023;C199;P023;S003;2;0.1;Cash
T00239;27/04/2024;C013;P014;S002;4;0.15;Cash
T00240;3/09/2024;C029;P018;S004;5;0;Credit Card
T00241;28/10/2024;C184;P034;S002;3;0.15;Cash
T00242;30/03/2025;C158;P015;S003;2;0.15;Credit Card
T00243;3/09/2025;C171;P044;S001;5;0.1;Cash
T00244;9/04/2024;C135;P002;S005;5;0;Mobile Money
T00245;14/09/2024;C121;P011;S001;4;0.1;Bank Transfer
T00246;3/06/2024;C192;P030;S001;3;0;Bank Transfer
T00247;7/12/2024;C062;P022;S001;5;0.1;Credit Card
T00248;17/11/2023;C012;P035;S003;5;0.1;Credit Card
T00249;2/02/2025;C200;P039;S004;4;0.05;Credit Card
T00250;8/07/2025;C017;P037;S004;1;0.1;Credit Card
T00251;3/08/2024;C012;P022;S002;1;0.1;Bank Transfer
T00252;20/03/2024;C132;P046;S004;5;0.15;Bank Transfer
T00253;20/02/2024;C010;P004;S002;3;0.1;Cash
T00254;16/03/2025;C168;P046;S003;3;0;Bank Transfer
T00255;11/11/2024;C112;P039;S004;4;0.15;Bank Transfer
T00256;29/09/2024;C048;P015;S004;4;0.1;Bank Transfer
T00257;18/10/2024;C022;P040;S004;1;0.15;Credit Card
T00258;27/03/2025;C140;P046;S003;3;0;Cash
T00259;10/05/2025;C084;P011;S003;3;0.15;Mobile Money
T00260;26/02/2025;C043;P024;S004;3;0.15;Cash
T00261;16/11/2023;C187;P030;S003;5;0.15;Bank Transfer
T00262;4/08/2024;C164;P039;S001;1;0.15;Bank Transfer
T00263;3/10/2024;C132;P035;S002;1;0.05;Mobile Money
T00264;19/02/2025;C009;P037;S002;1;0.05;Bank Transfer
T00265;1/05/2025;C093;P044;S004;5;0;Credit Card
T00266;23/05/2024;C174;P014;S004;3;0.1;Mobile Money
T00267;11/10/2023;C196;P009;S001;5;0.05;Bank Transfer
T00268;23/01/2025;C102;P016;S003;3;0.05;Cash
T00269;23/05/2024;C007;P046;S002;4;0.15;Cash
T00270;24/02/2024;C068;P023;S003;4;0.05;Bank Transfer
T00271;20/06/2025;C178;P040;S004;2;0;Credit Card
T00272;3/12/2024;C019;P002;S004;2;0.15;Cash
T00273;20/10/2023;C175;P014;S003;3;0;Bank Transfer
T00274;11/11/2023;C077;P002;S002;2;0.1;Credit Card
T00275;3/07/2025;C032;P043;S002;2;0.05;Mobile Money
T00276;13/10/2023;C007;P031;S003;5;0.1;Mobile Money
T00277;16/07/2024;C142;P035;S002;5;0;Cash
T00278;10/10/2024;C080;P036;S004;4;0.15;Mobile Money
T00279;13/07/2025;C148;P012;S001;2;0.1;Cash
T00280;5/02/2025;C116;P020;S004;5;0.1;Credit Card
T00281;14/10/2024;C200;P047;S005;5;0.05;Credit Card
T00282;9/03/2025;C111;P023;S005;1;0;Credit Card
T00283;12/07/2024;C078;P026;S002;2;0.1;Credit Card
T00284;7/06/2024;C089;P022;S005;3;0;Bank Transfer
T00285;1/07/2024;C051;P009;S005;3;0.05;Bank Transfer
T00286;11/10/2023;C158;P050;S005;1;0.05;Credit Card
T00287;11/07/2024;C044;P048;S005;5;0.1;Cash
T00288;16/04/2024;C008;P041;S001;1;0.1;Credit Card
T00289;25/05/2024;C197;P001;S005;4;0;Mobile Money
T00290;7/10/2024;C161;P001;S005;3;0.1;Mobile Money
T00291;12/06/2025;C063;P043;S004;3;0.15;Cash
T00292;2/07/2024;C177;P041;S001;2;0.15;Mobile Money
T00293;25/05/2025;C124;P005;S004;2;0.1;Credit Card
T00294;20/03/2025;C081;P015;S003;3;0.15;Credit Card
T00295;29/04/2025;C195;P020;S003;5;0;Bank Transfer
T00296;21/05/2025;C062;P004;S004;1;0.1;Mobile Money
T00297;4/10/2024;C064;P017;S002;1;0;Bank Transfer
T00298;21/08/2024;C099;P009;S005;4;0.05;Credit Card
T00299;21/11/2023;C084;P027;S005;3;0.05;Credit Card
T00300;15/11/2023;C128;P011;S005;4;0.15;Bank Transfer
T00301;7/12/2024;C128;P032;S001;1;0.15;Mobile Money
T00302;11/12/2024;C062;P014;S002;5;0.1;Cash
T00303;9/09/2025;C013;P017;S003;4;0.15;Bank Transfer
T00304;8/06/2024;C138;P014;S001;1;0.15;Credit Card
T00305;8/10/2024;C068;P029;S003;4;0.1;Cash
T00306;17/10/2024;C103;P001;S001;5;0.05;Bank Transfer
T00307;14/07/2025;C142;P012;S003;1;0.15;Mobile Money
T00308;23/11/2024;C196;P023;S005;3;0;Credit Card
T00309;7/04/2024;C025;P049;S004;3;0.1;Bank Transfer
T00310;28/11/2023;C194;P010;S002;2;0.15;Cash
T00311;1/07/2024;C012;P031;S001;2;0.1;Mobile Money
T00312;8/01/2025;C133;P024;S004;2;0.05;Bank Transfer
T00313;19/12/2024;C157;P038;S003;2;0.15;Bank Transfer
T00314;13/04/2025;C152;P028;S003;5;0.15;Bank Transfer
T00315;19/09/2023;C122;P026;S001;3;0.1;Cash
T00316;1/04/2025;C107;P003;S005;3;0;Mobile Money
T00317;27/02/2025;C068;P047;S005;5;0.05;Cash
T00318;24/05/2025;C150;P043;S004;2;0.15;Credit Card
T00319;5/02/2025;C175;P014;S002;1;0;Credit Card
T00320;6/10/2024;C005;P032;S004;3;0.15;Credit Card
T00321;8/11/2024;C106;P016;S002;4;0.15;Cash
T00322;3/12/2024;C181;P018;S002;5;0.05;Bank Transfer
T00323;25/04/2025;C170;P037;S004;5;0.15;Bank Transfer
T00324;20/04/2024;C045;P003;S004;5;0.1;Bank Transfer
T00325;29/12/2023;C174;P014;S003;5;0.15;Credit Card
T00326;2/10/2024;C064;P002;S003;5;0.1;Credit Card
T00327;27/06/2025;C077;P045;S003;2;0.15;Bank Transfer
T00328;22/05/2025;C123;P043;S003;5;0.1;Bank Transfer
T00329;13/12/2024;C032;P036;S005;5;0.15;Mobile Money
T00330;17/11/2023;C089;P034;S002;3;0;Bank Transfer
T00331;26/11/2024;C183;P046;S001;3;0.15;Bank Transfer
T00332;11/03/2024;C192;P002;S004;2;0.05;Bank Transfer
T00333;18/09/2024;C144;P026;S003;2;0;Credit Card
T00334;1/09/2025;C063;P026;S001;5;0.05;Credit Card
T00335;26/10/2024;C014;P041;S001;4;0.1;Mobile Money
T00336;12/12/2024;C026;P014;S002;1;0.05;Mobile Money
T00337;20/12/2024;C168;P043;S004;4;0.05;Bank Transfer
T00338;31/10/2024;C083;P010;S003;1;0;Credit Card
T00339;13/04/2024;C137;P039;S001;2;0.15;Credit Card
T00340;8/05/2024;C010;P010;S004;4;0.05;Bank Transfer
T00341;24/11/2023;C010;P050;S001;3;0;Bank Transfer
T00342;8/07/2025;C073;P037;S004;5;0.15;Credit Card
T00343;23/11/2024;C130;P022;S004;3;0.05;Cash
T00344;20/02/2025;C085;P045;S002;4;0.1;Credit Card
T00345;30/08/2025;C004;P033;S003;3;0.05;Credit Card
T00346;28/03/2025;C157;P014;S004;4;0.1;Cash
T00347;3/03/2025;C103;P030;S001;2;0.05;Mobile Money
T00348;10/03/2025;C083;P025;S002;1;0.1;Mobile Money
T00349;12/07/2025;C061;P025;S004;3;0.1;Bank Transfer
T00350;25/12/2024;C150;P015;S005;1;0.1;Bank Transfer
T00351;24/12/2024;C178;P047;S002;1;0;Mobile Money
T00352;4/01/2024;C079;P011;S002;4;0.1;Cash
T00353;14/03/2025;C164;P015;S003;3;0.05;Credit Card
T00354;24/12/2023;C035;P039;S004;2;0.15;Bank Transfer
T00355;16/09/2023;C107;P031;S005;4;0.05;Credit Card
T00356;29/08/2025;C175;P050;S005;1;0.15;Bank Transfer
T00357;20/08/2024;C020;P015;S005;1;0;Credit Card
T00358;28/10/2023;C147;P049;S005;2;0.05;Bank Transfer
T00359;22/03/2025;C134;P006;S004;1;0.05;Mobile Money
T00360;30/01/2024;C024;P008;S005;4;0;Mobile Money
T00361;18/08/2025;C034;P011;S005;4;0.15;Cash
T00362;17/06/2024;C144;P026;S004;3;0;Mobile Money
T00363;9/09/2024;C066;P018;S001;2;0;Cash
T00364;28/06/2024;C109;P024;S003;1;0;Cash
T00365;15/06/2024;C121;P045;S001;3;0.15;Credit Card
T00366;18/01/2025;C197;P034;S002;4;0.1;Mobile Money
T00367;8/02/2024;C115;P005;S004;4;0;Credit Card
T00368;26/10/2023;C168;P044;S003;1;0.05;Mobile Money
T00369;10/08/2025;C136;P019;S002;2;0;Cash
T00370;14/12/2024;C077;P010;S004;5;0.15;Mobile Money
T00371;4/04/2024;C059;P035;S002;4;0.1;Credit Card
T00372;29/08/2024;C071;P014;S002;1;0;Mobile Money
T00373;14/05/2025;C158;P026;S001;2;0.05;Cash
T00374;19/07/2025;C026;P013;S005;1;0.15;Cash
T00375;11/11/2023;C063;P025;S001;4;0.15;Credit Card
T00376;28/05/2025;C139;P039;S002;1;0.05;Bank Transfer
T00377;23/05/2024;C060;P030;S005;3;0.1;Credit Card
T00378;21/02/2025;C078;P034;S002;5;0.05;Mobile Money
T00379;13/02/2024;C077;P005;S003;1;0.05;Mobile Money
T00380;16/02/2025;C143;P010;S004;1;0.1;Mobile Money
T00381;18/10/2024;C135;P043;S003;4;0.15;Credit Card
T00382;27/07/2024;C077;P021;S004;2;0.15;Credit Card
T00383;26/02/2025;C058;P037;S003;2;0.15;Cash
T00384;29/04/2025;C144;P007;S004;4;0.05;Mobile Money
T00385;20/11/2024;C063;P007;S003;2;0.1;Cash
T00386;17/07/2024;C116;P043;S003;1;0.05;Cash
T00387;15/04/2024;C069;P011;S004;5;0;Cash
T00388;24/11/2023;C049;P024;S005;5;0.05;Mobile Money
T00389;19/10/2024;C054;P020;S003;3;0;Credit Card
T00390;10/06/2025;C049;P048;S001;4;0.05;Credit Card
T00391;10/10/2024;C102;P005;S002;5;0.1;Bank Transfer
T00392;9/10/2024;C098;P041;S004;5;0.1;Bank Transfer
T00393;23/12/2024;C067;P031;S003;5;0.15;Mobile Money
T00394;7/05/2024;C026;P001;S004;3;0.05;Bank Transfer
T00395;16/12/2024;C081;P025;S004;1;0.05;Credit Card
T00396;25/07/2024;C005;P049;S003;5;0.15;Bank Transfer
T00397;17/11/2023;C040;P029;S002;3;0.05;Mobile Money
T00398;14/10/2024;C146;P009;S002;4;0.1;Bank Transfer
T00399;4/10/2023;C196;P017;S004;4;0.15;Credit Card
T00400;24/01/2024;C188;P006;S003;2;0.05;Mobile Money
T00401;27/07/2024;C048;P047;S005;1;0;Cash
T00402;13/05/2025;C172;P021;S001;1;0.15;Credit Card
T00403;4/05/2024;C162;P029;S002;1;0.05;Cash
T00404;20/01/2025;C056;P048;S005;4;0.1;Cash
T00405;6/08/2024;C159;P022;S005;4;0.15;Cash
T00406;21/05/2025;C002;P031;S005;5;0.15;Cash
T00407;13/06/2025;C005;P034;S005;3;0.1;Cash
T00408;22/12/2024;C129;P015;S004;2;0;Cash
T00409;21/01/2025;C135;P037;S002;2;0.05;Bank Transfer
T00410;18/05/2024;C091;P048;S003;4;0;Bank Transfer
T00411;24/09/2024;C104;P002;S004;5;0.05;Credit Card
T00412;3/10/2023;C077;P005;S001;1;0;Mobile Money
T00413;20/01/2024;C098;P030;S004;5;0.15;Cash
T00414;19/09/2023;C164;P034;S001;2;0;Mobile Money
T00415;13/06/2025;C112;P029;S003;5;0;Cash
T00416;18/04/2025;C059;P036;S002;5;0.15;Bank Transfer
T00417;19/10/2023;C012;P004;S001;3;0;Credit Card
T00418;12/11/2024;C081;P033;S001;2;0.05;Mobile Money
T00419;30/01/2024;C020;P029;S003;2;0.05;Mobile Money
T00420;30/03/2024;C174;P029;S005;3;0.15;Credit Card
T00421;28/11/2023;C177;P019;S001;5;0.1;Cash
T00422;13/07/2025;C026;P046;S004;2;0;Bank Transfer
T00423;6/12/2023;C155;P001;S005;5;0.15;Bank Transfer
T00424;13/04/2024;C008;P014;S003;4;0.15;Credit Card
T00425;9/10/2024;C092;P004;S005;4;0.15;Credit Card
T00426;11/09/2023;C175;P024;S005;4;0;Bank Transfer
T00427;10/12/2024;C064;P030;S001;1;0.1;Credit Card
T00428;30/08/2025;C098;P033;S002;4;0.1;Bank Transfer
T00429;18/02/2024;C028;P010;S001;1;0.1;Mobile Money
T00430;3/03/2024;C093;P026;S003;1;0.05;Cash
T00431;10/01/2024;C048;P015;S004;4;0.15;Cash
T00432;18/12/2023;C007;P048;S001;3;0;Bank Transfer
T00433;12/02/2024;C099;P010;S001;3;0.15;Mobile Money
T00434;21/02/2025;C200;P030;S001;5;0.05;Credit Card
T00435;20/02/2025;C176;P028;S004;2;0.05;Bank Transfer
